user_id,exercise_id,performed_on,session_no,sex,age_years,height_cm,experience_months,goal,muscle_group,movement_pattern,equipment,is_compound,load_increment_kg,top_weight_kg,avg_reps,avg_rir,min_rir,n_sets,n_sets_with_rir,total_volume_kg,top_e1rm_kg,prev1_weight_kg,prev2_weight_kg,prev3_weight_kg,prev1_avg_rir,prev2_avg_rir,prev1_volume_kg,prev1_e1rm_kg,days_since_prev_session,pct_change_vs_prev,days_to_next_session,sleep_h_7d,bodyweight_7d_kg,kcal_7d,kcal_target_7d,kcal_balance_7d,protein_7d,protein_g_per_kg_7d,days_logged_7d,target_next_weight_kg,target_delta_kg
sim-000,elevaciones-laterales,9,1,F,20.8,166.3,18.630414746543778,recomp,hombro,aislamiento,mancuerna,False,2.0,4.0,8,0.0,0.0,3,3,96.0,5.066666666666666,,,,,,,,,,2.0,7.35,74.65,1665,1627,38,79.2,1.06,7,4.0,0.0
sim-000,elevaciones-laterales,11,2,F,20.8,166.3,18.630414746543778,recomp,hombro,aislamiento,mancuerna,False,2.0,4.0,7,0.0,0.0,3,3,84.0,4.933333333333334,4.0,,,0.0,,96.0,5.066666666666666,2.0,0.0,7.0,7.35,74.65,1665,1627,38,79.2,1.06,7,2.0,-2.0
sim-000,elevaciones-laterales,18,3,F,20.8,166.3,18.860829493087557,recomp,hombro,aislamiento,mancuerna,False,2.0,2.0,12,6.0,6.0,3,3,72.0,2.8,4.0,4.0,,0.0,0.0,84.0,4.933333333333334,7.0,-50.0,3.0,7.67,74.86,1728,1627,101,93.0,1.24,7,6.0,4.0
sim-000,elevaciones-laterales,21,4,F,20.8,166.3,19.091244239631337,recomp,hombro,aislamiento,mancuerna,False,2.0,6.0,1,0.0,0.0,3,3,18.0,6.200000000000001,2.0,4.0,4.0,6.0,0.0,72.0,2.8,3.0,200.0,2.0,7.51,74.79,1649,1627,22,70.1,0.94,7,6.0,0.0
sim-000,elevaciones-laterales,23,5,F,20.8,166.3,19.091244239631337,recomp,hombro,aislamiento,mancuerna,False,2.0,6.0,1,1.0,1.0,3,3,18.0,6.200000000000001,6.0,2.0,4.0,0.0,6.0,18.0,6.200000000000001,2.0,0.0,2.0,7.51,74.79,1649,1627,22,70.1,0.94,7,2.0,-4.0
sim-000,elevaciones-laterales,25,6,F,20.8,166.3,19.091244239631337,recomp,hombro,aislamiento,mancuerna,False,2.0,2.0,12,6.0,6.0,3,3,72.0,2.8,6.0,6.0,2.0,1.0,0.0,18.0,6.200000000000001,2.0,-66.67,3.0,7.51,74.79,1649,1627,22,70.1,0.94,7,6.0,4.0
sim-000,elevaciones-laterales,28,7,F,20.8,166.3,19.321658986175112,recomp,hombro,aislamiento,mancuerna,False,2.0,6.0,1,0.0,0.0,3,3,18.0,6.200000000000001,2.0,6.0,6.0,6.0,1.0,72.0,2.8,3.0,200.0,2.0,7.41,75.02,1672,1627,45,80.0,1.07,7,6.0,0.0
sim-000,elevaciones-laterales,30,8,F,20.8,166.3,19.321658986175112,recomp,hombro,aislamiento,mancuerna,False,2.0,6.0,1,0.0,0.0,3,3,18.0,6.200000000000001,6.0,2.0,6.0,0.0,6.0,18.0,6.200000000000001,2.0,0.0,5.0,7.41,75.02,1672,1627,45,80.0,1.07,7,4.0,-2.0
sim-000,elevaciones-laterales,35,9,F,20.8,166.3,19.552073732718892,recomp,hombro,aislamiento,mancuerna,False,2.0,4.0,7,0.0,0.0,3,3,84.0,4.933333333333334,6.0,6.0,2.0,0.0,0.0,18.0,6.200000000000001,5.0,-33.33,2.0,8.18,74.99,1560,1627,-67,89.7,1.2,7,4.0,0.0
sim-000,elevaciones-laterales,37,10,F,20.8,166.3,19.552073732718892,recomp,hombro,aislamiento,mancuerna,False,2.0,4.0,7,1.0,1.0,3,3,84.0,4.933333333333334,4.0,6.0,6.0,0.0,0.0,84.0,4.933333333333334,2.0,0.0,2.0,8.18,74.99,1560,1627,-67,89.7,1.2,7,2.0,-2.0
